nome,posicao,idade,nacionalidade,valor de mercado,clube,altura,pe dominante,contrato,clube anterior,partidas,gols,assistencias,cartoes amarelos,minutos jogados
Edinho,Attacking Midfield,30,Brazil,550000,Fortaleza Esporte Clube,158,right,,Clube Atlético Mineiro,58,3,2,1,637
Moisés,Left Winger,28,Brazil,2500000,Fortaleza Esporte Clube,177,right,2027-12-31,CD Cruz Azul,69,17,5,1,374
Breno Lopes,Left Winger,29,Brazil,2500000,Fortaleza Esporte Clube,178,right,2028-12-31,Sociedade Esportiva Palmeiras,126,20,7,13,2029
Dylan Borrero,Left Winger,23,Colombia,2500000,Fortaleza Esporte Clube,179,right,2028-12-31,New England Revolution,21,2,1,4,639
Yago Pikachu,Right Winger,32,Brazil,1000000,Fortaleza Esporte Clube,172,right,2025-12-31,Shimizu S-Pulse,243,41,19,39,12
Marinho,Right Winger,34,Brazil,500000,Fortaleza Esporte Clube,169,left,2025-12-31,CR Flamengo,214,55,30,58,1572
Bruno Branco,Right Winger,19,Brazil,,Fortaleza Esporte Clube,165,left,2025-12-31,Académico de Viseu Sub-23,0,0,0,0,0
Juan Martín Lucero,Centre-Forward,33,Argentina,1500000,Fortaleza Esporte Clube,182,right,2027-12-31,CSD Colo-Colo,63,17,3,10,4
Renato Kayzer,Centre-Forward,28,Brazil,1000000,Fortaleza Esporte Clube,176,right,2025-12-31,Club Athletico Paranaense,114,24,6,10,1128
Igor Torres,Centre-Forward,24,Brazil,800000,Fortaleza Esporte Clube,182,both,2025-12-31,Clube Atlético Taboão da Serra (SP),27,4,0,2,502
Thiago Galhardo,Centre-Forward,35,Brazil,500000,Fortaleza Esporte Clube,183,right,2025-12-31,Sport Club Internacional,203,46,15,41,737
Wagner Leonardo,Centre-Back,25,Brazil,2000000,Esporte Clube Vitória,186,left,2028-12-31,Portimonense SC,64,6,0,8,499
Zé Marcos,Centre-Back,27,Brazil,900000,Esporte Clube Vitória,188,left,2027-12-31,Esporte Clube Juventude,28,0,0,8,210
Neris,Centre-Back,32,Brazil,500000,Esporte Clube Vitória,192,right,2026-12-31,Cruzeiro Esporte Clube,75,1,1,22,763
Edu Ribeiro,Centre-Back,24,Brazil,500000,Esporte Clube Vitória,185,right,2025-12-31,Goiás EC,21,0,0,3,1173
Camutanga,Centre-Back,31,Brazil,450000,Esporte Clube Vitória,189,right,2025-12-31,Atlético Clube Goianiense,6,0,0,1,522
Bruno Uvini,Centre-Back,33,Brazil,300000,Esporte Clube Vitória,187,left,2025-12-31,Grêmio Foot-Ball Porto Alegrense,45,3,0,7,1523
Hugo,Left-Back,23,Brazil,4000000,Esporte Clube Vitória,175,left,2025-12-31,Botafogo de Futebol e Regatas,54,1,3,7,891
Lucas Esteves,Left-Back,24,Brazil,1800000,Esporte Clube Vitória,171,left,2025-12-31,Sociedade Esportiva Palmeiras,45,1,4,13,625
Felipe Vieira,Left-Back,25,Brazil,250000,Esporte Clube Vitória,176,left,2026-12-31,Londrina Esporte Clube (PR),0,0,0,0,0
Claudinho,Right-Back,24,Brazil,2000000,Esporte Clube Vitória,180,right,2027-12-31,Criciúma Esporte Clube,34,2,3,3,2
Raúl Cáceres,Right-Back,33,Paraguay,250000,Esporte Clube Vitória,180,right,2025-12-31,Club Guaraní,56,1,5,4,484
Caio Vinicius,Defensive Midfield,26,Brazil,1500000,Esporte Clube Vitória,187,right,2025-04-30,Fluminense Football Club,41,0,0,13,647
Baralhas,Defensive Midfield,26,Brazil,1200000,Esporte Clube Vitória,178,right,2025-12-31,Atlético Clube Goianiense,103,9,5,24,396
Willian Oliveira,Defensive Midfield,31,Brazil,800000,Esporte Clube Vitória,179,right,2025-12-31,Goiás EC,86,5,1,16,983
Ricardo Ryller,Defensive Midfield,30,Brazil,650000,Esporte Clube Vitória,184,right,2025-12-31,Al-Fayha FC,49,2,2,9,12
Ronald,Defensive Midfield,27,Brazil,500000,Esporte Clube Vitória,171,right,2025-12-31,Fortaleza Esporte Clube,122,3,4,17,576
Val Soares,Defensive Midfield,27,Brazil,225000,Esporte Clube Vitória,176,right,2025-12-31,CS Marítimo,13,0,1,6,617
Jean Mota,Central Midfield,31,Brazil,1000000,Esporte Clube Vitória,172,left,2026-12-31,Inter Miami CF,181,9,12,24,864
Thiago Conti,Central Midfield,27,Brazil,250000,Esporte Clube Vitória,180,right,2025-12-31,Esporte Clube Juventude,16,0,0,2,877
Dionísio,Central Midfield,30,Brazil,50000,Esporte Clube Vitória,172,right,2025-12-31,Alagoinhas AC,0,0,0,0,0
Matheuzinho,Attacking Midfield,27,Brazil,3000000,Esporte Clube Vitória,165,left,2028-12-31,Ypiranga FC,38,5,5,5,218
Pablo,Attacking Midfield,21,Brazil,100000,Esporte Clube Vitória,165,right,,EC Vitória U20,3,0,0,1,34
Bruno Xavier,Attacking Midfield,28,Brazil,50000,Esporte Clube Vitória,177,left,2025-12-31,Ituano Futebol Clube (SP),1,0,0,0,16
Fábio Soares,Left Winger,20,Brazil,50000,Esporte Clube Vitória,178,right,,EC Vitória U20,3,0,0,0,87
Gustavo Silva,Right Winger,27,Brazil,1500000,Esporte Clube Vitória,168,right,2026-12-31,Sport Club Corinthians Paulista,120,13,13,10,1504
Wellington Rato,Right Winger,32,Brazil,900000,Esporte Clube Vitória,172,left,2027-12-31,São Paulo Futebol Clube,112,11,15,13,5
Carlos Eduardo,Right Winger,28,Brazil,700000,Esporte Clube Vitória,173,right,2025-12-31,Alanyaspor,116,10,8,14,2622
Osvaldo,Right Winger,37,Brazil,150000,Esporte Clube Vitória,170,right,2025-12-31,Centro Sportivo Alagoano (AL),279,27,38,25,1740
Fabri,Centre-Forward,24,Brazil,800000,Esporte Clube Vitória,186,right,2026-12-31,Levante UD,2,0,0,0,15
Carlinhos,Centre-Forward,27,Brazil,700000,Esporte Clube Vitória,195,right,2025-12-31,CR Flamengo,14,2,0,2,436
Janderson,Centre-Forward,25,Brazil,600000,Esporte Clube Vitória,189,both,2027-12-31,Botafogo de Futebol e Regatas,46,4,2,8,404
Antônio Carlos,Centre-Back,31,Brazil,1000000,Sport Club do Recife,191,right,2025-12-31,Fluminense Football Club,95,3,1,17,1363
Rafael Thyere,Centre-Back,31,Brazil,600000,Sport Club do Recife,190,right,2025-12-31,Grêmio Foot-Ball Porto Alegrense,98,3,0,18,1652
Chico,Centre-Back,26,Brazil,600000,Sport Club do Recife,190,left,2026-12-31,Sport Recife U20,30,1,0,1,647
Renzo,Centre-Back,23,Brazil,150000,Sport Club do Recife,186,left,2025-12-31,Sport Recife U20,0,0,0,0,0
Marcelo Ajul,Centre-Back,22,Brazil,,Sport Club do Recife,187,right,,Sport Recife U20,1,0,0,0,14
Dalbert,Left-Back,31,Brazil,750000,Sport Club do Recife,181,left,2025-12-31,Sport Club Internacional,9,0,0,1,501
Igor Cariús,Left-Back,31,Brazil,400000,Sport Club do Recife,182,left,2025-12-31,Disqualification,68,1,0,16,4
Matheus Alexandre,Right-Back,25,Brazil,1500000,Sport Club do Recife,188,right,2028-12-31,Cuiabá Esporte Clube (MT),87,2,0,16,5
Leonel Di Plácido,Right-Back,31,Argentina,450000,Sport Club do Recife,176,right,2025-06-30,CA Lanús,32,1,4,5,2
Hereda,Right-Back,26,Brazil,250000,Sport Club do Recife,178,right,2025-12-31,Clube de Regatas Brasil (AL),0,0,0,0,0
Fabricio Domínguez,Central Midfield,26,Uruguay,1000000,Sport Club do Recife,177,right,2027-12-31,Racing Club,0,0,0,0,0
Hyoran,Attacking Midfield,31,Brazil,1500000,Sport Club do Recife,174,right,2025-12-31,Sport Club Internacional,177,20,17,18,2931
Christian Ortíz,Attacking Midfield,32,Argentina,700000,Sport Club do Recife,170,right,2025-12-31,Club Tijuana,0,0,0,0,0
Lucas Lima,Attacking Midfield,34,Brazil,550000,Sport Club do Recife,176,left,2026-12-31,Santos FC,293,19,41,62,498
Lenny Lobato,Left Winger,24,Brazil,750000,Sport Club do Recife,174,left,2025-06-30,CA Vélez Sarsfield,0,0,0,0,0
Gustavo Maia,Left Winger,24,Brazil,450000,Sport Club do Recife,168,right,2026-12-31,Clube Náutico Capibaribe,9,1,0,0,161
Rodrigo Atencio,Right Winger,22,Argentina,3500000,Sport Club do Recife,175,left,2029-12-31,CA Independiente,0,0,0,0,0
Chrystian Barletta,Right Winger,23,Brazil,1500000,Sport Club do Recife,178,left,2028-12-31,Ceará Sporting Club,3,0,0,0,127
Carlos Alberto,Right Winger,22,Brazil,1300000,Sport Club do Recife,181,right,2029-12-31,Botafogo de Futebol e Regatas,36,4,0,3,850
Romarinho,Right Winger,30,Brazil,1000000,Sport Club do Recife,168,right,2026-12-31,Fortaleza Esporte Clube,138,10,8,9,374
Gustavo Coutinho,Centre-Forward,26,Brazil,1600000,Sport Club do Recife,186,right,2027-12-31,Fortaleza Esporte Clube,0,0,0,0,0
Gonçalo Paciência,Centre-Forward,30,Portugal,1200000,Sport Club do Recife,184,right,2025-12-31,Sanfrecce Hiroshima,0,0,0,0,0
Zé Roberto,Centre-Forward,31,Brazil,900000,Sport Club do Recife,184,right,,Ceará Sporting Club,95,12,5,19,1407
Pablo,Centre-Forward,32,Brazil,750000,Sport Club do Recife,185,right,2026-12-31,Club Athletico Paranaense,249,49,12,38,902
Dieguinho,Centre-Forward,20,Brazil,50000,Sport Club do Recife,,,,AA Portuguesa (SP) U20,0,0,0,0,0
Éder,Centre-Back,29,Brazil,650000,Ceará Sporting Club,184,right,2025-12-31,América Futebol Clube (MG),132,2,3,29,551
Willian Machado,Centre-Back,28,Brazil,600000,Ceará Sporting Club,186,left,2027-12-31,Operário Ferroviário Esporte Clube (PR),0,0,0,0,0
Gabriel Lacerda,Centre-Back,25,Brazil,550000,Ceará Sporting Club,190,right,2025-12-31,Ceará SC U20,58,4,2,9,651
Marllon,Centre-Back,32,Brazil,450000,Ceará Sporting Club,186,right,2026-12-31,Cuiabá Esporte Clube (MT),192,4,3,28,1240
Ramon Menezes,Centre-Back,29,Brazil,400000,Ceará Sporting Club,186,right,2025-12-31,Atlético Clube Goianiense,96,1,0,15,6
Luiz Otávio,Centre-Back,36,Brazil,100000,Ceará Sporting Club,190,right,,Angra dos Reis EC (RJ),132,5,2,32,9
Matheus Bahia,Left-Back,25,Brazil,1300000,Ceará Sporting Club,181,left,2025-12-31,Esporte Clube Bahia,55,2,5,9,524
Nicolas,Left-Back,27,Brazil,1200000,Ceará Sporting Club,181,left,2025-12-31,América Futebol Clube (MG),78,1,5,6,1095
Eric,Left-Back,24,Brazil,100000,Ceará Sporting Club,180,left,2025-06-30,Esporte Clube Jacuipense (BA),0,0,0,0,0
Fabiano,Right-Back,24,Brazil,1500000,Ceará Sporting Club,175,right,2025-06-30,Moreirense FC,0,0,0,0,0
Dieguinho,Right-Back,29,Brazil,1000000,Ceará Sporting Club,175,right,2026-12-31,Goiás EC,49,2,6,7,3
Rafael Ramos,Right-Back,30,Portugal,500000,Ceará Sporting Club,174,right,2026-12-31,Sport Club Corinthians Paulista,20,0,1,3,1
Richardson,Defensive Midfield,33,Brazil,250000,Ceará Sporting Club,174,right,2026-12-31,Kashiwa Reysol,61,0,2,26,4
Fernando Sobral,Central Midfield,30,Brazil,1800000,Ceará Sporting Club,178,right,2025-12-31,Cuiabá Esporte Clube (MT),171,6,7,23,1811
Lourenço,Central Midfield,27,Brazil,1200000,Ceará Sporting Club,169,right,2025-12-31,Vila Nova Futebol Clube (GO),37,2,3,6,350
Matheus Araújo,Attacking Midfield,22,Brazil,2000000,Ceará Sporting Club,176,right,2027-12-31,Sport Club Corinthians Paulista,20,1,2,0,615
Jorge Recalde,Attacking Midfield,32,Paraguay,550000,Ceará Sporting Club,178,both,2025-12-31,CA Newell's Old Boys,0,0,0,0,0
Lucas Mugni,Attacking Midfield,33,Argentina,300000,Ceará Sporting Club,184,left,2025-12-31,Esporte Clube Bahia,84,3,6,13,371
Alejandro Martínez,Left Winger,27,Argentina,1200000,Ceará Sporting Club,170,left,2025-12-31,CA Talleres,0,0,0,0,0
Fernandinho,Left Winger,27,Brazil,600000,Ceará Sporting Club,175,right,2026-12-31,Mirassol Futebol Clube (SP),17,0,0,2,41
João Victor,Left Winger,20,Brazil,150000,Ceará Sporting Club,167,both,2025-12-31,Ceará SC U20,4,0,0,0,28
Antonio Galeano,Right Winger,24,Paraguay,1500000,Ceará Sporting Club,170,right,2025-12-31,Club Nacional,17,0,0,3,705
Pedro Henrique,Right Winger,34,Brazil,700000,Ceará Sporting Club,179,right,2025-12-31,Sport Club Corinthians Paulista,69,11,6,12,354
Bruno Tubarão,Right Winger,29,Brazil,450000,Ceará Sporting Club,180,right,2027-01-30,Atlético Clube Goianiense,62,1,1,5,475
Zé Neto,Right Winger,19,Brazil,,Ceará Sporting Club,,both,2025-12-31,Ceará SC U20,0,0,0,0,0
Aylon,Centre-Forward,32,Brazil,350000,Ceará Sporting Club,180,right,2026-01-30,Grêmio Novorizontino,46,4,3,7,2125
Adriano Martins,Centre-Back,27,Brazil,500000,Esporte Clube Juventude,193,right,2025-12-31,Atlético Clube Goianiense,34,0,0,7,2
Rodrigo Sam,Centre-Back,29,Brazil,350000,Esporte Clube Juventude,187,right,2025-12-31,Mirassol Futebol Clube (SP),13,1,0,4,790
Wilker Ángel,Centre-Back,31,Venezuela,250000,Esporte Clube Juventude,190,right,2025-12-31,Criciúma Esporte Clube,13,1,0,3,986
Cipriano,Centre-Back,22,Brazil,250000,Esporte Clube Juventude,197,left,2025-12-31,APOEL Nicosia,1,0,0,1,76
Kawan,Centre-Back,21,Brazil,100000,Esporte Clube Juventude,188,right,2025-12-31,Botafogo FR U20,0,0,0,0,0
Felipinho,Left-Back,28,Brazil,600000,Esporte Clube Juventude,177,left,2025-12-31,Sport Club do Recife,0,0,0,0,0
Alan Ruschel,Left-Back,35,Brazil,175000,Esporte Clube Juventude,176,left,2025-12-31,Londrina Esporte Clube (PR),93,2,4,21,3175
Marcos Paulo,Left-Back,22,Brazil,,Esporte Clube Juventude,183,left,2025-12-31,Nova Iguaçu FC (RJ),1,0,0,1,28
Ewerthon,Right-Back,24,Brazil,1000000,Esporte Clube Juventude,171,right,2025-12-31,Sport Club do Recife,53,1,3,3,450
Reginaldo,Right-Back,31,Brazil,250000,Esporte Clube Juventude,174,right,2025-12-31,Ordabasy Shymkent,8,0,0,1,630
Caíque Gonçalves,Defensive Midfield,29,Brazil,500000,Esporte Clube Juventude,178,right,2025-12-31,Ceará Sporting Club,17,0,0,5,1
Daniel Giraldo,Defensive Midfield,32,Colombia,450000,Esporte Clube Juventude,178,right,2026-12-31,Millonarios FC,0,0,0,0,0
Kelvi Gomes,Defensive Midfield,22,Brazil,250000,Esporte Clube Juventude,182,right,,EC Juventude U20,1,0,0,0,41
Daniel Peixoto,Defensive Midfield,27,Brazil,100000,Esporte Clube Juventude,181,right,2025-12-31,Rio Claro Futebol Clube (SP),2,0,0,1,18
Mandaca,Central Midfield,23,Brazil,1500000,Esporte Clube Juventude,178,right,2026-12-31,Sport Club Corinthians Paulista,30,4,2,5,1
Jádson,Central Midfield,31,Brazil,1000000,Esporte Clube Juventude,171,right,2026-12-31,: Ablöse free transfer,221,6,8,45,2420
Dudu Vieira,Central Midfield,30,Brazil,750000,Esporte Clube Juventude,176,right,2025-12-31,Associação Atlética Ponte Preta,5,0,0,1,269
Jean Carlos,Attacking Midfield,32,Brazil,600000,Esporte Clube Juventude,178,left,2025-12-31,Ceará Sporting Club,28,4,2,3,132
Rafinha,Attacking Midfield,22,Brazil,200000,Esporte Clube Juventude,173,right,2025-12-31,EC Juventude U23,11,0,0,0,377
Nenê,Attacking Midfield,43,Brazil,150000,Esporte Clube Juventude,181,left,2025-12-31,Clube de Regatas Vasco da Gama,213,46,30,26,984
Petterson,Left Winger,21,Brazil,750000,Esporte Clube Juventude,181,right,2025-12-31,CR Flamengo,2,0,0,0,27
Giovanny,Left Winger,27,Brazil,700000,Esporte Clube Juventude,175,right,2025-12-31,Guangxi Pingguo,12,0,0,1,346
Ênio,Left Winger,23,Brazil,400000,Esporte Clube Juventude,168,right,2025-12-31,Amazonas FC,4,0,0,0,194
Emerson Batalla,Right Winger,23,Colombia,750000,Esporte Clube Juventude,171,left,2025-12-31,CA Talleres,0,0,0,0,0
Vitor Pernambucano,Right Winger,26,Brazil,,Esporte Clube Juventude,187,left,2025-12-31,Al-Dhafra FC,0,0,0,0,0
Erick Farias,Centre-Forward,28,Brazil,1500000,Esporte Clube Juventude,174,right,2026-12-31,Ypiranga FC,35,5,3,1,2
Gabriel Taliari,Centre-Forward,27,Brazil,600000,Esporte Clube Juventude,177,right,2026-12-31,Capivariano FC,24,2,2,1,955
Gilberto,Centre-Forward,35,Brazil,350000,Esporte Clube Juventude,178,right,2025-12-31,Cruzeiro Esporte Clube,274,79,16,40,2361
Luiz Otávio,Centre-Back,32,Brazil,900000,Mirassol Futebol Clube (SP),194,right,,Esporte Clube Bahia,45,4,1,3,1088
Alan Empereur,Centre-Back,30,Brazil,750000,Mirassol Futebol Clube (SP),186,left,2025-12-31,Cuiabá Esporte Clube (MT),116,3,1,30,793
João Victor,Centre-Back,27,Brazil,450000,Mirassol Futebol Clube (SP),188,right,2025-12-31,Esporte Clube Vitória,1,0,0,0,42
Jemmes,Centre-Back,24,Brazil,300000,Mirassol Futebol Clube (SP),187,right,2025-12-31,Vila Nova Futebol Clube (GO),0,0,0,0,0
David Braz,Centre-Back,37,Brazil,100000,Mirassol Futebol Clube (SP),188,right,2025-12-31,Goiás EC,277,18,6,55,2741
Da Silva,Centre-Back,23,Brazil,,Mirassol Futebol Clube (SP),192,right,,AA Aparecidense,7,1,0,3,567
Reinaldo,Left-Back,35,Brazil,400000,Mirassol Futebol Clube (SP),178,left,2025-12-31,Grêmio Foot-Ball Porto Alegrense,373,31,43,67,25
Zeca,Right-Back,30,Brazil,600000,Mirassol Futebol Clube (SP),169,both,2025-12-31,Esporte Clube Vitória,137,4,9,19,1791
Lucas Ramon,Right-Back,30,Brazil,400000,Mirassol Futebol Clube (SP),178,right,,Sport Club do Recife,16,0,1,4,769
Daniel Borges,Right-Back,31,Brazil,400000,Mirassol Futebol Clube (SP),174,right,2025-12-31,Botafogo de Futebol e Regatas,44,0,4,4,1011
Wesley Santos,Right-Back,20,Brazil,150000,Mirassol Futebol Clube (SP),170,right,2026-12-15,Mirassol FC U20,0,0,0,0,0
Roni,Defensive Midfield,25,Brazil,1700000,Mirassol Futebol Clube (SP),174,right,2026-12-31,Sport Club Corinthians Paulista,86,5,2,23,1935
Neto Moura,Defensive Midfield,28,Brazil,900000,Mirassol Futebol Clube (SP),176,right,2026-12-31,Cruzeiro Esporte Clube,67,1,2,10,3005
Danielzinho,Central Midfield,30,Brazil,700000,Mirassol Futebol Clube (SP),166,right,2025-12-30,Grêmio Novorizontino,2,0,0,0,97
José Aldo,Central Midfield,26,Brazil,500000,Mirassol Futebol Clube (SP),175,both,2025-12-31,Ituano Futebol Clube (SP),1,0,0,0,8
Kauan,Attacking Midfield,22,Brazil,350000,Mirassol Futebol Clube (SP),172,both,2025-12-31,,0,0,0,0,0
Chico Kim,Attacking Midfield,33,Brazil,300000,Mirassol Futebol Clube (SP),175,right,2025-12-31,Esporte Clube Juventude,109,3,11,9,659
Gabriel,Attacking Midfield,35,Brazil,300000,Mirassol Futebol Clube (SP),178,right,2025-12-31,Centro Sportivo Alagoano (AL),186,23,11,11,704
Clayson,Left Winger,29,Brazil,1200000,Mirassol Futebol Clube (SP),166,right,2025-12-31,Cuiabá Esporte Clube (MT),237,30,25,38,1337
Diego Gonçalves,Left Winger,30,Brazil,400000,Mirassol Futebol Clube (SP),182,right,2025-12-31,Londrina Esporte Clube (PR),33,3,0,3,1104
Guilherme Pato,Left Winger,23,Brazil,,Mirassol Futebol Clube (SP),160,right,2025-12-31,Figueirense Futebol Clube,7,0,1,1,195
Negueba,Right Winger,25,Brazil,550000,Mirassol Futebol Clube (SP),173,right,2025-12-31,Globo FC,0,0,0,0,0
Matheus Davó,Centre-Forward,25,Brazil,900000,Mirassol Futebol Clube (SP),178,right,2026-12-31,Cruzeiro Esporte Clube,4,2,0,1,261
Iury Castilho,Centre-Forward,29,Brazil,750000,Mirassol Futebol Clube (SP),185,right,2025-12-31,Esporte Clube Vitória,29,1,1,5,1038
Léo Gamalho,Centre-Forward,39,Brazil,150000,Mirassol Futebol Clube (SP),188,right,,Esporte Clube Vitória,56,16,1,3,908
Rafael Silva,Centre-Forward,29,Brazil,,Mirassol Futebol Clube (SP),177,right,2025-12-31,Esporte Clube São Bento (SP),0,0,0,0,0
